Designator,Mid X,Mid Y,Rotation,Layer
BT1,129.985,-126.0,0.0,top
D1,144.465,-139.5,0.0,top
D2,115.975,-139.5,180.0,top
Q1,120.47,-112.885,0.0,top
R1,140.47,-113.0,0.0,top
R2,151.47,-130.0,270.0,top
R3,114.47,-122.0,90.0,top
R4,108.47,-130.0,270.0,top
