Designator,Mid X,Mid Y,Rotation,Layer
BT1,54.5,-64.5,0.0,top
D1,75.5,-64.77,90.0,top
D2,34.5,-65.005,90.0,top
R1,64.0,-78.0,180.0,top
R2,45.5,-78.0,0.0,top
